CIRCOSCRIZIONE,COLLEGIO PLURINOMINALE,COLLEGIO UNINOMINALE,COMUNE
PIEMONTE 1,PIEMONTE 1 - 01,PIEMONTE 1 - 01 - TORINO - ZONA STATISTICA 16,TORINO
PIEMONTE 1,PIEMONTE 1 - 01,PIEMONTE 1 - 02 - TORINO - ZONA STATISTICA 38,TORINO
PIEMONTE 1,PIEMONTE 1 - 01,PIEMONTE 1 - 03 - TORINO - ZONA STATISTICA 48,TORINO
PIEMONTE 1,PIEMONTE 1 - 01,PIEMONTE 1 - 04 - TORINO - ZONA STATISTICA 61,TORINO
PIEMONTE 1,PIEMONTE 1 - 01,PIEMONTE 1 - 06 - COLLEGNO,ALPIGNANO
PIEMONTE 1,PIEMONTE 1 - 01,PIEMONTE 1 - 06 - COLLEGNO,BEINASCO
PIEMONTE 1,PIEMONTE 1 - 01,PIEMONTE 1 - 06 - COLLEGNO,BRUINO
PIEMONTE 1,PIEMONTE 1 - 01,PIEMONTE 1 - 06 - COLLEGNO,COLLEGNO
PIEMONTE 1,PIEMONTE 1 - 01,PIEMONTE 1 - 06 - COLLEGNO,DRUENTO
PIEMONTE 1,PIEMONTE 1 - 01,PIEMONTE 1 - 06 - COLLEGNO,GRUGLIASCO
PIEMONTE 1,PIEMONTE 1 - 01,PIEMONTE 1 - 06 - COLLEGNO,ORBASSANO
PIEMONTE 1,PIEMONTE 1 - 01,PIEMONTE 1 - 06 - COLLEGNO,PIANEZZA
PIEMONTE 1,PIEMONTE 1 - 01,PIEMONTE 1 - 06 - COLLEGNO,RIVALTA DI TORINO
PIEMONTE 1,PIEMONTE 1 - 01,PIEMONTE 1 - 06 - COLLEGNO,RIVOLI
PIEMONTE 1,PIEMONTE 1 - 01,PIEMONTE 1 - 06 - COLLEGNO,VENARIA REALE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,AGLIE'
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,ALA DI STURA
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,ALBIANO D'IVREA
